Compound_ID,IC50
M001,2.01
M002,1.56
M003,2.14
M004,3.03
M005,1.5
M006,1.5
M007,3.1
M008,2.24
M009,1.37
M010,2.05
M011,1.37
M012,1.37
M013,1.82
M014,0.77
M015,0.83
M016,1.32
M017,1.1
M018,1.87
M019,1.15
M020,0.94
M021,2.96
M022,1.51
M023,1.69
M024,0.93
M025,1.33
M026,1.72
M027,1.04
M028,1.92
M029,1.3
M030,1.47
M031,1.3
M032,3.46
M033,1.64
M034,1.08
M035,2.29
M036,1.01
M037,1.79
M038,0.75
M039,0.97
M040,1.78
M041,2.22
M042,1.77
M043,1.57
M044,1.46
M045,0.91
M046,1.24
M047,1.37
M048,2.52
M049,1.89
M050,0.81
M051,1.88
M052,1.41
M053,1.26
M054,2.11
M055,2.49
M056,2.39
M057,1.18
M058,1.46
M059,1.88
M060,2.44
